name,market 0,market 1,market 2,market 3,market 4,market 5,market 6,market 7,market 8,market 9,market 10,market 11,market 12,market 13,market 14,market 15,market 16,market 17,market 18,market 19,market 20,market 21,market 22,market 23,market 24,market 25,market 26,market 27,market 28,market 29,market 30,market 31,market 32,market 33,market 34,market 35,market 36,market 37,market 38,market 39,market 40,market 41,market 42,market 43,market 44,market 45,market 46,market 47,market 48,market 49,market 50,market 51,market 52,market 53,market 54,market 55,market 56,market 57,market 58,market 59,market 60,market 61,market 62,market 63,market 64,market 65,market 66,market 67,market 68,market 69,market 70,market 71,market 72,market 73,market 74,market 75,market 76,market 77,market 78,market 79,market 80,market 81,market 82,market 83,market 84,market 85,market 86,market 87,market 88,market 89,market 90,market 91,market 92,market 93,market 94,market 95,market 96,market 97,market 98,market 99
market 26,15916.56,11953.37,12213.59,18051.11,7599.31,9336.04,15011.25,13727.19,12690.22,11331.34,15562.11,16245.63,11875.5,10606.02,14580.27,9075.16,7842.41,11298.91,13941.28,25932.67,9573.46,17314.15,16042.28,7179.25,17194.75,9104.45,0.0,15585.06,8243.34,14721.19,11567.76,21579.09,17424.67,10842.61,9524.62,8696.08,12763.99,11495.29,11701.94,13455.21,15385.58,14572.84,9477.68,8963.15,19468.36,10124.12,10448.67,16194.39,4658.23,12066.44,10776.27,15793.89,15786.7,12812.21,16973.77,14251.5,12751.51,19011.66,11922.56,10772.99,13232.09,8888.72,14742.65,7972.65,16632.72,11665.13,16901.88,15858.55,16974.56,5291.42,13874.08,17034.05,8236.04,15239.24,1983.01,7942.64,14007.48,8000.09,12490.57,8212.64,21619.18,13400.4,15640.46,11920.5,13816.97,10443.37,18413.05,9414.26,16890.89,17961.51,20261.97,16662.34,10728.19,8098.81,17837.09,14449.52,5109.31,14226.89,16958.12,13801.42
market 27,1675.33,5287.58,6889.47,2554.06,8393.45,6707.84,5840.7,2482.32,3049.53,4266.98,4862.71,5545.89,6198.26,6617.18,8021.91,6943.03,8253.37,4491.64,3777.61,13211.7,7007.29,1817.1,2521.01,10098.61,2164.26,8242.9,15585.06,0.0,11021.59,1425.31,6192.78,6082.04,3226.66,7205.16,6120.61,8879.96,4976.48,4620.71,4498.02,4922.02,3357.24,2149.29,8000.74,9480.15,3971.31,6076.49,5830.43,7206.54,11271.93,10271.26,5119.69,1308.77,2657.14,5189.24,3139.46,1351.59,4034.59,7720.15,5757.29,6150.02,9731.4,8063.88,7401.33,8290.61,2798.4,5397.63,5564.39,2745.35,3526.25,10713.22,4208.19,1537.0,11082.65,2813.12,13750.05,7967.37,2897.68,14561.1,7967.96,9499.36,6122.13,2235.84,4077.39,4554.45,4712.81,11144.38,9221.49,6474.06,3170.51,3913.59,6220.06,1821.13,5507.71,7951.95,2774.69,2371.86,10849.92,3334.28,5992.82,7131.9
market 28,11399.5,9762.57,11165.05,13418.87,4873.84,6621.13,8072.75,8719.26,8144.42,6953.21,9068.24,9751.76,5391.81,4689.81,14242.06,5267.44,4452.11,6942.55,8017.76,23018.84,7254.44,12681.9,12119.21,8229.27,12339.02,3696.18,8243.34,11021.59,0.0,10327.54,5645.41,16946.84,13189.91,9267.14,6257.3,3700.06,6591.08,7607.18,6647.46,11036.61,11920.73,9872.26,7886.64,1920.28,14836.11,5332.48,5296.03,8425.05,4565.62,12505.86,6294.42,11097.51,12011.19,10609.3,12739.0,9857.84,9368.63,12039.23,9931.83,8942.61,12836.41,4020.33,13956.99,5923.53,12397.95,9271.14,10408.01,11014.6,12130.6,5975.25,7926.0,12401.81,809.14,10395.28,8084.19,5670.58,8881.8,10964.67,4726.03,1947.69,16986.94,9006.74,12428.1,8288.5,7269.69,2200.02,10525.41,6183.98,12768.85,13726.74,16027.2,11976.74,5553.79,4588.93,12993.13,10013.54,3995.24,10754.57,14715.85,12763.21
market 29,1497.87,4096.62,5698.5,3780.67,7529.58,5843.97,6169.36,2797.18,2425.79,3403.11,5498.73,6181.92,5897.31,6134.69,7016.77,6079.16,7389.5,3627.77,4106.27,13118.32,5860.8,2641.99,2218.68,8952.11,3383.39,7466.72,14721.19,1425.31,10327.54,0.0,5796.82,7255.47,3289.38,6014.19,5256.74,8185.91,4677.28,3709.22,3944.95,3710.5,2413.13,787.9,6854.24,8786.1,5144.73,5254.09,5031.52,7535.2,10408.06,9211.61,4255.82,1028.65,2176.32,3998.27,2838.47,909.63,2843.62,8518.86,4566.32,5003.52,8671.75,7287.7,6396.19,7247.62,2497.42,4179.31,6363.1,3748.29,4752.86,9797.64,4536.85,2763.61,10388.59,3611.83,12886.18,7103.5,3262.72,13414.61,7667.01,8805.31,7295.56,1426.8,3072.25,3407.95,4865.53,10450.33,9921.04,5610.19,2868.33,3826.21,6126.68,1982.96,4918.01,7088.08,4001.3,1010.47,9986.05,2105.25,5182.0,6078.62
market 30,6972.83,5990.13,7879.93,8590.05,4628.28,3382.62,3635.02,3890.45,3384.09,2917.75,4239.23,4922.42,538.73,1012.31,10304.46,2657.01,4004.62,2907.09,3017.66,18592.17,4168.53,7853.09,7692.53,7509.56,7510.21,3094.09,11567.76,6192.78,5645.41,5796.82,0.0,12118.03,8763.23,5887.17,2737.18,3690.27,1762.07,3599.17,1990.59,6798.28,7494.06,5445.59,5676.88,3956.64,10007.3,1743.7,1425.88,4818.16,7023.18,10251.56,2274.85,6670.84,7584.52,6641.96,8312.33,5274.4,5233.16,7688.45,6289.15,5240.98,9711.7,2915.07,9895.22,5015.14,7971.28,5526.9,5578.67,6185.79,7301.79,7303.98,2950.45,7573.0,5722.58,5566.47,10340.8,4660.49,3935.42,12351.06,2767.96,4309.66,12158.13,4406.41,8001.42,4408.12,2440.68,5347.44,7220.76,2907.37,8342.18,9300.07,11600.53,7550.06,1395.44,3584.59,8164.32,5586.87,6601.17,6364.41,10289.18,8794.56
market 31,6925.39,11023.09,12624.34,4258.46,14387.47,12701.87,11576.36,8407.57,9008.55,10261.0,9517.35,9882.18,12123.51,12542.43,13589.0,12937.05,14247.39,10485.66,9702.86,12294.9,13001.32,5822.31,7678.49,16092.64,5457.27,14168.15,21579.09,6082.04,16946.84,7255.47,12118.03,0.0,7465.19,12940.66,12114.64,14805.21,10901.73,10614.74,10423.26,10475.44,8808.0,7735.35,13994.76,15405.4,2725.98,12001.74,11755.68,12311.37,17265.95,15838.36,11113.72,6676.13,7907.19,10924.12,7540.74,7345.62,9808.05,10530.34,11492.17,12144.04,15298.5,13989.13,12968.43,14284.64,7702.1,11143.75,9457.29,6462.43,6611.59,16707.24,10038.86,4717.08,17007.9,6899.52,19744.07,13961.39,8797.65,20555.13,13893.21,15424.61,342.21,8229.87,9611.66,10548.47,10517.25,17069.63,12784.87,12468.08,8221.3,8152.12,9742.29,6512.52,11432.96,13945.98,5774.69,7893.21,16843.95,8901.37,11268.11,12699.0
market 32,2096.57,5823.86,6981.17,4338.99,10230.92,8706.34,9067.36,5708.98,5673.16,6265.48,8055.53,8739.05,9077.93,9006.94,7513.79,8941.52,10251.87,6490.13,7004.27,10168.96,7941.8,2805.98,1618.68,10878.93,4766.71,10329.09,17424.67,3226.66,13189.91,3289.38,8763.23,7465.19,0.0,7493.9,8119.11,11048.28,7924.65,6283.91,6949.48,4925.91,2885.08,3369.46,8781.06,11648.46,5354.46,8116.46,7893.88,10433.2,13270.43,10092.58,7118.19,2410.81,1866.88,5443.63,1077.85,3955.22,4863.7,9824.81,6127.11,6929.63,9552.72,10150.07,7185.62,9414.05,1239.21,5969.98,8351.1,5356.24,5906.05,11893.97,7434.85,3056.44,13250.96,5784.05,15371.21,9571.1,6124.34,15148.49,10847.63,11667.67,7505.28,4683.46,3688.74,5819.18,7939.47,13312.69,12008.2,8472.55,1941.38,644.01,3177.32,1405.55,7792.18,9950.45,5154.5,3251.18,12848.42,3482.59,5148.29,6953.22
market 33,6221.58,1970.17,2025.2,9671.21,4347.59,3521.08,8972.49,6206.67,5062.41,4038.53,8658.49,9342.01,6378.27,5585.72,5146.9,4424.02,5186.02,3874.67,6752.06,15292.91,2264.36,8729.56,5987.7,3830.76,9074.19,5959.12,10842.61,7205.16,9267.14,6014.19,5887.17,12940.66,7493.9,0.0,3582.73,6592.15,6200.64,3212.58,4975.39,2746.99,5026.34,5303.15,2083.3,7884.3,10829.93,4475.69,4522.68,10338.33,7469.66,4582.7,4112.28,6391.86,5657.66,2104.0,6909.57,6018.59,3277.64,12108.05,1534.59,1141.87,4013.71,5640.42,5002.33,3446.36,6701.94,1936.59,9998.26,8298.65,9414.66,5448.52,7202.04,8654.15,8612.14,7679.34,8925.76,3740.65,6747.63,7668.14,8667.84,7319.49,12980.76,5371.33,5097.42,2711.91,7144.94,9548.53,12558.23,3922.8,6353.76,8030.73,10129.85,7018.94,4617.25,4923.93,9891.84,5085.45,7347.89,4244.37,6415.08,3808.56
market 34,6328.71,3811.48,5480.64,8586.66,2333.01,645.54,6280.72,4262.74,3225.77,1865.6,6198.3,6881.82,3166.68,2217.09,8309.69,1296.9,2480.17,1833.17,4501.03,17948.05,1455.05,7849.7,6922.89,4782.53,7730.3,2960.98,9524.62,6120.61,6257.3,5256.74,2737.18,12114.64,8119.11,3582.73,0.0,3594.02,3400.18,2025.87,2237.49,5189.07,6500.52,4801.47,2949.85,4715.86,10003.91,1116.96,1401.12,7485.57,5498.73,7882.93,1311.81,6026.71,6667.31,4680.34,7668.2,4787.05,3489.46,9647.85,3919.07,2923.76,7407.27,2642.83,7944.23,2237.1,7327.15,3308.0,7538.07,6394.1,7510.11,4652.78,4510.27,7569.6,5942.58,5774.79,7689.6,1906.92,4550.9,9624.03,5456.25,4649.93,12154.73,3935.95,6916.16,2479.01,4453.16,6380.09,9866.46,413.61,7698.06,8655.94,10956.41,6905.94,1637.37,2186.39,8372.64,4965.53,5076.72,5198.82,8737.32,6750.46
market 35,9257.87,6821.69,8490.06,11277.24,2143.19,3626.82,6961.38,6577.64,6002.8,4811.58,7768.21,8451.73,3998.01,2728.52,11381.57,2289.94,1630.82,4800.92,6343.57,20877.21,4360.57,10540.28,9977.58,5534.75,10197.4,702.05,8696.08,8879.96,3700.06,8185.91,3690.27,14805.21,11048.28,6592.15,3594.02,0.0,5119.72,5167.81,4505.83,8594.33,9779.11,7730.64,5300.54,2296.68,12694.48,3023.05,3154.4,7983.72,4151.5,10093.3,4152.8,8955.88,9869.56,7848.24,10597.37,7716.22,6894.71,10927.86,6990.95,6048.74,10416.69,1042.83,11016.1,3510.98,10256.32,6330.26,9107.98,8872.97,9988.98,4717.34,6276.36,10260.18,3045.06,8253.66,7616.68,3140.63,6691.45,10051.31,5224.31,1752.4,14845.31,6865.11,10211.92,5849.12,5969.65,3906.16,10547.12,3180.4,10627.22,11585.11,13885.57,9835.11,3412.16,1856.98,10851.51,7871.92,3729.49,8494.58,12142.58,9822.33
market 36,6133.13,5363.56,7378.65,7373.75,5673.02,3987.41,3105.66,2674.15,2289.43,2469.93,3091.25,3774.77,1379.56,2485.45,9625.54,3699.52,5200.84,2686.89,1494.97,17753.58,4587.47,6636.79,6853.95,8014.06,6129.64,4523.54,12763.99,4976.48,6591.08,4677.28,1762.07,10901.73,7924.65,6200.64,3400.18,5119.72,0.0,3208.89,1530.82,6119.37,6687.03,4524.8,6072.1,4991.77,8791.0,2644.48,2398.43,4288.8,8219.41,10565.03,2207.09,5724.37,6777.48,5998.08,7473.74,4154.86,4554.25,6540.81,5787.87,5371.14,10025.17,4344.52,9216.3,5570.18,7132.69,5025.62,4431.02,4805.21,5775.02,7992.79,1403.22,6356.69,6668.25,4185.9,11029.61,5246.93,2359.01,12855.55,3104.9,5739.11,10941.82,3286.86,7194.39,4017.52,1346.11,5929.38,6691.4,3753.62,7503.59,8461.48,10761.94,6554.61,2075.71,4888.74,6637.55,4779.84,7797.4,5557.38,9482.14,8115.65
market 37,4500.38,2465.19,4354.98,7086.76,4303.67,2613.1,5759.92,2994.1,1849.84,836.18,5445.92,6129.43,3964.87,3435.58,6968.03,2879.34,4189.68,743.86,3539.49,16112.84,2486.51,6349.8,5135.12,5865.71,6291.77,4534.77,11495.29,4620.71,7607.18,3709.22,3599.17,10614.74,6283.91,3212.58,2025.87,5167.81,3208.89,0.0,2038.43,3596.77,4743.37,2953.72,3776.66,6065.74,8504.0,2325.56,2325.7,7125.76,7208.25,7423.81,1346.35,4212.07,4928.58,3117.01,5833.0,3271.4,1897.16,8895.47,2764.2,2162.25,6883.95,4237.6,6558.79,3868.29,5491.95,2001.95,6785.69,5122.09,6238.1,6506.26,3989.47,6069.7,7668.23,4502.78,9660.27,3877.59,3535.05,10323.47,6074.74,6084.95,10654.83,2518.64,5159.0,883.18,3932.36,7729.97,9345.66,2384.28,5862.85,6820.74,9121.2,5088.21,2221.93,3888.27,7131.79,3032.77,6786.24,3441.67,7406.18,5458.13
market 38,5159.07,4320.16,6319.19,6895.29,4510.33,2824.72,4210.39,2195.69,1532.22,1235.24,4127.97,4811.49,2356.29,2254.75,8610.31,2757.4,4258.72,1317.09,2298.8,16778.41,3358.87,6158.33,5878.78,6851.37,5815.45,3868.77,11701.94,4498.02,6647.46,3944.95,1990.59,10423.26,6949.48,4975.39,2237.49,4505.83,1530.82,2038.43,0.0,5104.13,5680.31,3631.84,5066.16,5106.02,8312.53,1702.36,1456.3,5576.23,7277.28,9311.25,1044.4,4857.08,5770.76,4982.85,6498.57,3422.53,3539.01,7577.52,4728.41,4049.69,8771.39,3689.75,8201.07,4407.49,6157.52,3966.16,5467.74,4491.02,5607.03,6830.1,2439.94,5878.23,6708.52,3871.71,9866.93,4084.24,2348.68,11692.87,4388.39,5125.23,10463.36,2554.53,6187.67,2847.39,2382.83,6770.25,7796.13,2590.93,6528.42,7486.31,9786.77,5736.31,1133.58,3946.62,6469.56,3773.11,6855.27,4550.65,8475.42,7100.42
market 39,3638.94,1709.67,2226.95,7200.75,6699.15,5357.72,8196.31,4988.54,4039.25,4112.18,7743.42,8426.94,7163.98,6865.01,3846.02,6291.55,7275.9,4175.33,5836.99,12699.11,4343.24,6161.04,3419.71,6556.05,6791.05,7961.29,13455.21,4922.02,11036.61,3710.5,6798.28,10475.44,4925.91,2746.99,5189.07,8594.33,6119.37,3596.77,5104.13,0.0,2305.63,3062.15,4559.28,9495.17,8364.71,5807.44,5740.59,9562.15,9945.65,5548.33,4838.52,3832.63,3089.67,696.72,4341.58,3825.23,1700.1,11118.73,1532.65,2707.6,5008.47,7536.88,3507.45,5797.91,4133.96,2318.31,8962.97,6831.01,7947.02,7924.51,6367.77,6183.69,11097.67,6211.7,11401.75,6092.21,5514.9,10393.43,8997.48,9514.38,10515.53,3477.64,2376.7,2811.57,6591.12,11159.4,11782.05,5593.11,3785.77,5462.74,7561.86,4436.3,5638.89,7020.93,7421.38,2742.74,9748.55,1733.83,3821.27,2408.97
market 40,1947.17,3432.28,4227.59,5649.64,8498.95,6980.83,8485.89,5113.71,4435.54,4996.3,7815.26,8498.78,7808.76,7737.77,4740.3,7507.82,8818.16,5220.96,6233.28,12014.99,5997.96,4406.57,1348.24,8557.53,5215.93,9059.92,15385.58,3357.24,11920.73,2413.13,7494.06,8808.0,2885.08,5026.34,6500.52,9779.11,6687.03,4743.37,5680.31,2305.63,0.0,2330.41,6489.66,10379.29,6697.27,6847.28,6624.71,9851.73,11836.72,7230.72,5849.02,2140.86,1094.65,2906.19,2231.84,3236.37,3097.64,10732.34,3742.12,4637.97,6690.86,8866.08,4369.01,7470.21,2093.12,3911.65,8576.58,5771.72,6621.83,9854.88,6764.05,4399.26,11981.79,5825.31,13332.12,7664.82,5579.25,12394.91,9578.46,10398.5,8848.1,3754.48,872.13,4123.02,6987.41,12043.52,12233.68,6904.56,1577.64,3315.71,5353.73,2630.28,6523.01,8516.74,5870.28,2031.67,11414.71,1372.89,2999.97,4091.35
market 41,1579.06,3385.58,4987.46,4460.65,7074.31,5388.7,6295.63,2923.46,2273.31,2947.83,5587.62,6271.13,5760.29,5689.3,6710.78,5623.88,6934.22,3172.49,3975.1,13198.4,5105.29,3491.1,2298.76,8196.61,4107.37,7011.45,14572.84,2149.29,9872.26,787.9,5445.59,7735.35,3369.46,5303.15,4801.47,7730.64,4524.8,2953.72,3631.84,3062.15,2330.41,0.0,6098.73,8330.82,5624.61,4798.82,4576.24,7661.47,9952.79,8500.58,3800.55,1290.75,2256.4,3287.24,2918.55,1146.9,2132.58,8756.13,3855.28,4248.02,7960.71,6832.43,6090.2,6492.11,2577.5,3495.63,6600.37,4422.74,5432.84,9042.14,4505.87,3443.6,9933.32,3849.1,12519.38,6648.22,3388.99,12659.1,7529.99,8350.03,7775.44,1432.72,2837.77,2652.44,4788.18,9995.05,10010.26,5154.91,2948.41,3906.29,6206.76,2166.89,4474.54,6632.81,4681.29,405.64,9530.78,1572.54,5125.52,5367.58
market 42,7261.2,3057.45,3744.74,10466.79,2967.08,2888.2,8952.64,6773.91,5629.65,4390.73,9117.31,9800.83,6116.42,5166.83,6628.38,3504.8,3897.2,4226.87,7210.88,17012.45,1520.29,9557.43,7351.65,2508.0,9869.77,4667.51,9477.68,8000.74,7886.64,6854.24,5676.88,13994.76,8781.06,2083.3,2949.85,5300.54,6072.1,3776.66,5066.16,4559.28,6489.66,6098.73,0.0,6667.17,11884.03,4066.7,4340.82,10297.22,5974.33,4966.09,3983.73,7272.59,7039.19,3916.28,8330.15,6753.08,4228.04,12566.87,3026.63,1877.06,5222.72,4348.81,6629.29,2050.32,7989.1,2907.03,10457.08,8901.91,10017.92,3935.63,7182.18,9449.73,7231.63,8282.6,7424.22,2441.81,7245.33,6526.86,8405.99,5938.98,14034.86,6050.56,6816.95,3446.4,7125.08,8055.6,12538.38,3084.73,7886.96,9317.89,11618.35,8058.56,4577.06,3635.11,10687.42,5928.22,5852.56,5416.01,8134.62,5598.68
market 43,9858.06,8049.89,9782.2,11877.42,3642.2,4855.02,6473.44,7177.82,6602.98,5411.77,7468.94,8152.45,3792.5,3148.37,12609.77,3518.14,3220.47,5401.11,6418.45,21477.4,5652.71,11140.46,10577.76,6997.63,10797.58,2150.03,8963.15,9480.15,1920.28,8786.1,3956.64,15405.4,11648.46,7884.3,4715.86,2296.68,4991.77,6065.74,5106.02,9495.17,10379.29,8330.82,6667.17,0.0,13294.67,3791.04,3754.59,7495.78,5306.62,11459.93,4752.98,9556.07,10469.75,9067.86,11197.56,8316.4,7827.19,10439.92,8219.15,7223.83,11708.83,2409.46,12244.3,4877.6,10856.51,7558.46,8808.71,9473.16,10589.16,6180.23,6326.69,10860.37,1997.45,8853.84,8771.8,4438.94,7291.63,11514.19,3626.3,923.81,15445.5,7465.3,10886.66,6747.06,5670.38,1665.07,9448.12,4408.61,11227.41,12185.3,14485.76,10435.29,4012.35,3223.61,11451.69,8472.1,4884.62,9213.13,13174.41,11050.53
market 44,4814.66,8912.36,10513.61,1805.64,12276.74,10591.14,9465.63,6296.84,6897.82,8150.27,7406.62,7771.45,10012.78,10431.7,11478.27,10826.32,12136.66,8374.93,7592.13,13796.77,10890.59,3711.58,5567.75,13981.91,3115.66,12057.42,19468.36,3971.31,14836.11,5144.73,10007.3,2725.98,5354.46,10829.93,10003.91,12694.48,8791.0,8504.0,8312.53,8364.71,6697.27,5624.61,11884.03,13294.67,0.0,9891.0,9644.95,10200.64,15155.22,13727.63,9002.99,4565.4,5796.46,8813.39,5430.01,5234.89,7697.32,8188.73,9381.43,10033.31,13187.76,11878.39,10857.7,12173.91,5591.37,9033.01,7346.56,4351.7,4269.97,14596.51,7928.13,2606.34,14897.17,4788.79,17633.34,11850.66,6686.92,18444.4,11782.48,13313.88,2766.07,6119.14,7500.93,8437.74,8406.52,14958.9,10443.25,10357.35,6110.57,6041.38,8158.44,4401.79,9322.23,11835.25,3433.07,5782.48,14733.21,6790.64,9157.38,10588.26
market 45,6326.05,4454.37,6321.5,8473.76,3184.64,1762.4,5187.19,3774.16,3119.14,1879.76,5442.6,6126.12,2051.44,1160.89,9178.7,1059.65,2560.97,1869.1,3821.77,17945.39,2568.04,7736.8,7045.76,5899.38,7393.92,2390.01,10124.12,6076.49,5332.48,5254.09,1743.7,12001.74,8116.46,4475.69,1116.96,3023.05,2644.48,2325.56,1702.36,5807.44,6847.28,4798.82,4066.7,3791.04,9891.0,0.0,326.27,6370.33,5579.54,8999.78,1220.98,6024.06,6937.74,5327.68,7665.55,4784.4,4107.83,8892.16,4713.14,3829.51,8300.23,2210.99,8769.46,3311.58,7324.5,3950.9,6782.37,6069.49,7185.5,5699.2,3754.57,7456.7,5393.54,5450.18,8736.03,2956.93,3887.97,10740.88,4341.01,3810.25,12041.83,3933.29,7369.67,3006.88,3697.46,5455.27,8772.93,1286.37,7695.4,8653.29,10953.75,6903.29,608.68,2248.87,8048.03,4940.09,5157.53,5652.34,9616.85,7533.32
market 46,6103.48,4501.36,6368.48,8227.7,3509.18,2046.56,5052.73,3528.1,2896.56,1657.19,5196.55,5880.06,1916.99,1124.43,9143.47,1384.2,2885.52,1646.53,3575.72,17722.82,2832.47,7490.74,6823.18,6173.5,7147.86,2435.21,10448.67,5830.43,5296.03,5031.52,1425.88,11755.68,7893.88,4522.68,1401.12,3154.4,2398.43,2325.7,1456.3,5740.59,6624.71,4576.24,4340.82,3754.59,9644.95,326.27,0.0,6235.87,5904.08,8887.08,998.4,5801.48,6715.17,5327.82,7442.98,4561.82,4072.61,8646.1,4760.13,3876.49,8347.21,2256.19,8734.23,3595.74,7101.92,3997.88,6536.32,5823.44,6939.44,6023.74,3508.51,7210.65,5357.08,5204.12,9060.57,3241.09,3641.91,11015.0,4206.55,3773.8,11795.78,3710.72,7132.07,3007.01,3451.41,5418.82,8638.47,1610.92,7472.83,8430.71,10731.18,6680.71,362.63,2573.42,7801.97,4717.52,5482.07,5458.55,9419.82,7633.58
market 47,8852.02,9258.69,11273.78,8800.0,9254.91,8131.0,1365.7,4877.48,5591.95,6381.32,2943.52,3133.81,4398.96,5638.94,13315.4,7283.64,8631.25,6656.66,4114.67,19687.26,8812.59,8179.4,9611.08,12239.18,7382.68,7543.53,16194.39,7206.54,8425.05,7535.2,4818.16,12311.37,10433.2,10338.33,7485.57,7983.72,4288.8,7125.76,5576.23,9562.15,9851.73,7661.47,10297.22,7495.78,10200.64,6370.33,6235.87,0.0,11649.81,14549.57,6432.21,8209.62,9568.72,9725.16,10230.87,6659.58,8364.47,5015.12,9682.99,9288.01,14009.71,7541.7,12906.16,9641.77,9889.82,8920.75,4282.96,6058.25,6288.96,11930.61,3292.67,7837.09,8502.22,5438.94,14967.43,9287.12,4299.23,17080.68,4022.42,8153.38,12351.47,6382.12,10465.8,7934.4,3472.37,7544.68,4634.38,7534.0,10260.72,11218.61,13519.08,9027.67,6216.8,8211.22,7151.49,8051.25,11227.8,8828.79,12620.6,11805.51
market 48,11480.02,8443.81,9367.56,13737.98,3582.84,5522.27,10466.67,9349.08,8377.09,7018.21,11017.53,11701.04,7330.92,6061.43,12260.78,4530.58,3297.82,6985.78,9396.7,23099.36,5876.06,13001.01,12228.47,5012.47,12881.62,4559.87,4658.23,11271.93,4565.62,10408.06,7023.18,17265.95,13270.43,7469.66,5498.73,4151.5,8219.41,7208.25,7277.28,9945.65,11836.72,9952.79,5974.33,5306.62,15155.22,5579.54,5904.08,11649.81,0.0,9789.84,6336.48,11178.03,12021.93,9302.65,12819.52,9938.37,8859.64,14467.08,8413.0,7263.42,10912.59,4344.14,12426.08,4537.27,12478.47,8138.64,12357.3,11644.42,12760.42,2233.72,9329.49,12720.92,4558.31,11025.1,4342.66,4222.44,9462.89,7223.14,9034.56,4382.85,17306.05,9087.26,12252.36,7805.54,9272.39,6616.62,14052.41,5085.12,12849.37,13807.26,16107.72,12057.26,6183.61,3554.23,13622.95,10094.06,582.05,10535.02,13717.21,11395.47
market 49,9001.86,5668.05,3708.13,12563.67,7586.31,7821.27,13183.73,10153.92,9076.3,8249.77,12869.73,13553.25,10742.67,10099.91,3836.77,8437.88,8689.96,8085.9,10963.3,15189.16,6390.72,11523.96,8555.74,5097.48,12129.95,9460.26,12066.44,10271.26,12505.86,9211.61,10251.56,15838.36,10092.58,4582.7,7882.93,10093.3,10565.03,7423.81,9311.25,5548.33,7230.72,8500.58,4966.09,11459.93,13727.63,8999.78,8887.08,14549.57,9789.84,0.0,8476.67,9195.55,8302.14,5278.38,9270.12,9305.79,6711.09,16319.29,5222.2,5353.11,1281.26,9141.56,4025.2,6669.54,9300.62,5714.84,14209.5,12174.54,13290.55,7655.94,11413.28,11546.61,11850.86,11555.23,10597.58,7061.03,10680.28,7072.98,13032.23,10558.2,15878.45,8853.99,6533.61,6773.62,11356.18,12674.83,16769.47,8017.81,8462.78,10353.99,10997.4,9799.22,8981.65,8427.87,12784.3,8282.87,9716.2,7234.28,6830.8,3555.39
market 50,5327.79,3761.39,5651.18,7585.74,3584.65,1899.05,5087.63,3204.82,2224.85,865.97,5005.21,5688.73,2640.55,2122.83,8209.77,2007.57,3317.92,833.54,3307.94,16947.13,2499.11,6848.78,6047.49,5925.7,6729.38,3433.61,10776.27,5119.69,6294.42,4255.82,2274.85,11113.72,7118.19,4112.28,1311.81,4152.8,2207.09,1346.35,1044.4,4838.52,5849.02,3800.55,3983.73,4752.98,9002.99,1220.98,998.4,6432.21,6336.48,8476.67,0.0,5025.79,5939.48,4389.14,6667.28,3786.13,3138.91,8454.76,4060.4,3308.72,7936.81,3254.59,7800.53,3481.81,6326.23,3298.15,6344.98,5393.19,6509.19,5904.42,3317.18,6568.68,6355.48,4773.87,8941.25,3158.57,3357.81,10767.19,4869.78,4772.19,11153.81,2935.03,6345.79,2155.31,3260.07,6417.21,8673.37,1665.26,6697.14,7655.02,9955.49,5905.02,896.7,3016.5,7371.72,3941.83,5914.47,4614.52,8592.97,6699.88
market 51,642.6,4474.29,6058.91,3601.17,8299.55,6613.94,6843.78,3471.6,3472.1,4173.08,6054.46,6737.64,6944.39,6914.55,6946.19,6849.13,8159.47,4397.74,4780.69,12391.14,6326.34,2430.42,1492.18,9370.46,3167.46,8236.69,15793.89,1308.77,11097.51,1028.65,6670.84,6676.13,2410.81,6391.86,6026.71,8955.88,5724.37,4212.07,4857.08,3832.63,2140.86,1290.75,7272.59,9556.07,4565.4,6024.06,5801.48,8209.62,11178.03,9195.55,5025.79,0.0,1534.26,4375.32,2111.29,1569.95,3259.25,8492.11,4943.36,5420.49,8655.68,8057.67,6325.62,7713.17,1770.24,4594.94,6774.48,3955.44,4573.36,10263.19,5211.27,2267.38,11158.56,4023.21,13740.43,7873.47,3937.14,13832.95,8714.1,9575.28,6716.23,2349.82,2944.52,3910.79,5715.89,11220.3,10431.58,6380.16,2141.68,3099.03,5399.5,1077.36,5699.78,7858.05,3821.8,1344.41,10756.02,2272.55,4684.25,6056.18
market 52,1072.32,4055.59,5190.74,4854.91,8692.87,7174.75,8202.88,4830.7,4526.0,5086.76,7486.01,8169.53,7899.21,7828.23,5723.36,7693.03,9003.37,5311.42,6139.79,11525.69,6303.83,3388.37,330.04,9137.07,4421.19,9150.37,15786.7,2657.14,12011.19,2176.32,7584.52,7907.19,1866.88,5657.66,6667.31,9869.56,6777.48,4928.58,5770.76,3089.67,1094.65,2256.4,7039.19,10469.75,5796.46,6937.74,6715.17,9568.72,12021.93,8302.14,5939.48,1534.26,0.0,3607.39,1415.97,2953.36,3312.45,9745.85,4290.86,5187.77,7762.28,8971.35,5395.18,7776.08,1074.92,4228.11,8187.69,5368.65,5827.09,10256.0,6570.37,3498.45,12072.24,5436.42,13733.24,7927.23,5296.23,13358.06,9668.92,10488.96,7947.29,3570.4,1898.3,4289.81,7040.87,12133.98,11844.79,7071.35,1088.34,2403.71,4704.18,1612.08,6613.46,8701.95,5075.54,1996.35,11599.92,1696.17,3363.49,5162.78
